카테고리,상품명,상품URL,브랜드,품번,성별,시즌,1달간 조회수,1년간 구매수,상품판매가,할인율,상세이미지,스냅사진
맨투맨/스웨트,스웨트셔츠 [블랙],https://www.musinsa.com/app/goods/947067,무신사 스탠다드,MITS0001-BK,남,,1달간 2.3천 회 이상 조회,1년간 1.8만 개 이상 구매,26890,10%,"https://image.musinsa.com/images/prd_img/2023120511232600000096195.jpg, https://image.musinsa.com/images/prd_img/2023120511232600000070987.jpg, https://image.musinsa.com/images/prd_img/2023120511232600000038074.jpg, https://image.musinsa.com/images/prd_img/2023120511232700000019122.jpg, https://image.msscdn.net/display/images/common/2022/12/15/e5386a26e7d84466b2315b60e461fa10.jpg, https://image.musinsa.com/images/prd_img/2023120511232700000016672.jpg, https://image.musinsa.com/images/prd_img/2023120511232700000089527.jpg, https://image.musinsa.com/images/prd_img/2023120511232700000017950.jpg, https://image.musinsa.com/images/prd_img/2023120511232700000099454.jpg, https://image.musinsa.com/images/prd_img/2023121309493000000079430.jpg, https://image.musinsa.com/images/prd_img/2023120511232700000095248.jpg, https://image.musinsa.com/images/prd_img/2023120511232700000023301.jpg, https://image.musinsa.com/images/prd_img/2023121309493000000003036.jpg, https://image.musinsa.com/images/prd_img/2023120511232600000076615.jpg, https://image.musinsa.com/images/prd_img/2023120511232600000008605.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20190201/947067/947067_17017429711469_320.jpg, https://image.msscdn.net/thumbnails/images/style/list/2024043015582300000020587.jpg?w=390, https://image.msscdn.net/thumbnails/images/style/list/2024043016263400000080090.jpg?w=390, https://image.msscdn.net/thumbnails/images/style/list/2024043017490800000073282.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/04/12/7c11d3e6918f49a7bdfc7dd8f15b0dca.jpg?w=390"
맨투맨/스웨트,980G 피그먼트 맨투맨-챠콜-,https://www.musinsa.com/app/goods/1582356,소버먼트,pg-mtm-05,남,,1달간 7.1천 회 이상 조회,1년간 2만 개 이상 구매,57300,40%,"https://www.soverment.com/web/upload2/22fw-poduct%20list.jpg, https://www.soverment.com/web/upload2/22fw-poduct%20list2.jpg, https://www.soverment.com/web/upload2/22fw-poduct%20list1.jpg, https://www.lomort.co.kr/web/upload/980g%20pigment%20mtm-charcoal-.jpg, https://www.lomort.co.kr/web/upload/copyrightallright.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20200903/1582356/1582356_1_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/06/24/75f3776714bd41a88a0a15a8b62144f2.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/27/50262c666bd6430e998c97bc9ea742c3.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/19/b95193a2e9e44f599fd2db7f816cf491.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/19/846ef2133ec347038ec121d969a1da21.jpg?w=390"
맨투맨/스웨트,"[2PACK] 유니)C/P기모쭈리 - LOCATION 맨투맨(세미오버핏)(15COLOR)[LRAWCTM704M/712M, 304M, GMT501H43]",https://www.musinsa.com/app/goods/1208839,그루브라임,LRAWCTM704M,공용,ALL SS,1달간 500회 이상 조회,1년간 900개 이상 구매,118000,,"https://k9638927.hgodo.com/2021fw/CTM/LRPWCTM304MSET-1.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MGYM-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MGYM-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MBKA-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MBKA-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MGYL-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MGYL-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MIVA-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MIVA-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MCHA-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MCHA-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MBLL-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MBLL-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MNAA-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MNAA-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MNAL-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MNAL-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MMIA-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MMIA-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MKHA-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MKHA-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MPPA-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MPPA-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MPIA-2.jpg, https://k9638927.hgodo.com/2021fw/CTM/302M304MPIA-3.jpg, https://k9638927.hgodo.com/2021fw/CTM/LRPWCTM304MSET-4.jpg, https://k9638927.hgodo.com/2021fw/CTM/LRPWCTM304M-SIZE.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20191031/1208839/1208839_17170444397110_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2022/03/19/e31498fc9e904db693e5e260e591c504.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2022/03/18/c79ef01a52184df0835a91085db1933a.jpg?w=390, https://image.msscdn.net/thumbnails/mfile_s01/_shopstaff/list.staff_5f9770535c83a.jpg?w=390, https://image.msscdn.net/thumbnails/mfile_s01/_shopstaff/list.staff_5f88f71ee8e25.jpg?w=390"
맨투맨/스웨트,헤비 코튼 오버 럭비 맨투맨_Midnight Blue,https://www.musinsa.com/app/goods/2038497,라퍼지스토어,m1037_685555,공용,2023 FW,1달간 4.4천 회 이상 조회,1년간 9.9천 개 이상 구매,39800,26%,"https://lafudgestorew.cafe24.com/web/upload/2024/0614/coopp.jpg, https://lafudgestorew.cafe24.com/web/upload/2023/0830/rugby_nv_01_1.png, https://lafudgestorew.cafe24.com/web/upload/2023/0830/rugby_nv_02.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20210722/2038497/2038497_16933617758610_320.jpg, https://image.msscdn.net/thumbnails/images/style/list/2024032616312600000049981.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/20/a3e7f8387d554f9e9023225d7aaf7f62.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/18/51b1199af3e54321a2b656fb947d736a.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/20/bd8f79f6bfc745ba801ae8fbe2fc2623.jpg?w=390"
맨투맨/스웨트,베츠 어센틱 맨투맨 그레이,https://www.musinsa.com/app/goods/1557508,이벳필드,EB2200CR05GR,공용,2022 SS,1달간 3천 회 이상 조회,1년간 5.1천 개 이상 구매,34500,50%,"https://ebbets.cafe24.com/22FW/standard/intro.jpg, https://ebbets.cafe24.com/22FW/standard/EB2200CR05/GR_01.jpg, https://ebbets.cafe24.com/22FW/standard/EB2200CR05/GR_01_1.jpg, https://ebbets.cafe24.com/22FW/standard/EB2200CR05/GR_02.jpg, https://ebbets.cafe24.com/22FW/standard/EB2200CR05/GR_03.jpg, https://ebbets.cafe24.com/22FW/standard/EB2200CR05/GR_04.jpg, https://ebbets.cafe24.com/22FW/standard/outro.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20200820/1557508/1557508_17036407795824_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/05/28/7ffeabc7d22340f5b5d6c00f7e5834b6.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/05/28/0e8e73bd30a843efae142a4d4623a39a.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/01/25/4103f94ab81b4b898942ca4ab091a08f.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/12/24/ccca639b35ea4a2f821703e96fa44571.jpg?w=390"
맨투맨/스웨트,캠프 바시티 피그먼트 스웨트셔츠 블루 섀도우,https://www.musinsa.com/app/goods/897632,트래블,TROEAWCR04UB4,공용,ALL,1달간 700회 이상 조회,1년간 1.6천 개 이상 구매,49900,28%,https://image.musinsa.com/images/prd_img/2022071216054100000031680.jpg,"https://image.msscdn.net/thumbnails/images/goods_img/20181104/897632/897632_1_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/12/25/9f965ad9e4bd48c0ab9ff3d079cda319.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/05/14/90cf1b3d11a246b5bccd198e5834732b.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/05/09/6d55a53ae4454edaa1069a65014dc70c.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/02/14/b53c0a62ad5a42e392485dc7b47e7e6b.jpg?w=390"
맨투맨/스웨트,1960 sweatshirts navy,https://www.musinsa.com/app/goods/956939,유니폼브릿지,UB-1104,남,2022 FW,1달간 650회 이상 조회,1년간 1.9천 개 이상 구매,61750,5%,"https://image.msscdn.net/images/prd_img/2024041615123553922786322661e16d383a62.jpg, https://image.musinsa.com/images/prd_img/2023052210324200000075054.jpg, https://image.musinsa.com/images/prd_img/2023033013524800000029827.png","https://image.msscdn.net/thumbnails/images/goods_img/20190218/956939/956939_16847191483500_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/04/06/bca3ec0bbde44b9d8831194a84570588.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/02/15/6842604a47b64965b0a2562037742430.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/10/30/09f8f188bce2414eba232c1d80163290.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/10/17/f60a3640ab734a3bbca785a6e2ce1b13.jpg?w=390"
맨투맨/스웨트,LOCATION CREWNECK [INDIGO BLUE],https://www.musinsa.com/app/goods/836499,비바스튜디오,VMASCTMU01E,공용,2021 FW,1달간 500회 이상 조회,1년간 1.6천 개 이상 구매,29000,50%,"https://image.msscdn.net/images/prd_img/202403061103479994328685465e7cf03f4012.jpg, https://image.msscdn.net/images/prd_img/202403061103499095314612365e7cf05de0e5.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20180823/836499/836499_17096904214648_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/09/15/e19bffe641a04c44bdfedda74bf28a9c.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/08/31/c3c3c4c428d44df7a1d069163db34b8d.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/03/08/4936f8c452f640af91b52187a0dff14a.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/01/30/be3766fee5d04cfbb7586286edbca22c.jpg?w=390"
맨투맨/스웨트,LOCATION CREWNECK [BLACK],https://www.musinsa.com/app/goods/836495,비바스튜디오,VMASCTMU01EBKA,공용,ALL ALL,1달간 800회 이상 조회,1년간 3.6천 개 이상 구매,29000,50%,"https://image.msscdn.net/images/prd_img/202403061105130331924855565e7cf59081b1.jpg, https://image.msscdn.net/images/prd_img/202403061105153972925230565e7cf5b60ff7.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20180823/836495/836495_17096903635192_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/09/15/e19bffe641a04c44bdfedda74bf28a9c.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/08/31/c3c3c4c428d44df7a1d069163db34b8d.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/03/08/4936f8c452f640af91b52187a0dff14a.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/01/30/be3766fee5d04cfbb7586286edbca22c.jpg?w=390"
맨투맨/스웨트,로코 피그먼트 리버시블 헤비 맨투맨 (9 color),https://www.musinsa.com/app/goods/643173,어텐션로우,AT001,남,,1달간 750회 이상 조회,1년간 1.6천 개 이상 구매,58000,34%,"https://a10tionrow0421.cafe24.com/web/attentionrow/KakaoTalk_20230314_164753806.jpg, https://a10tionrow0421.cafe24.com/web/attentionrow/KakaoTalk_20230315_142739382.jpg, https://image.msscdn.net/images/prd_img/2019022514343700000089481.jpg, https://image.musinsa.com/images/prd_img/2019090215082200000062155.jpg, https://image.musinsa.com/images/prd_img/2019090215072100000076503.jpg, https://image.musinsa.com/images/prd_img/2019090215091700000083686.jpg, https://image.musinsa.com/images/prd_img/2019090215103800000086985.jpg, https://image.musinsa.com/images/prd_img/2019090215112300000014877.jpg, https://image.musinsa.com/images/prd_img/2019090215120400000038199.jpg, https://image.musinsa.com/images/prd_img/2019090215123800000072847.jpg, https://image.musinsa.com/images/prd_img/2019090215133100000083450.jpg, https://image.musinsa.com/images/prd_img/2023031415335300000064293.jpg, https://image.msscdn.net/images/prd_img/2019060318044600000095271.jpg, https://image.msscdn.net/images/prd_img/2019022515154100000028141.jpg, https://image.msscdn.net/images/prd_img/2019022514353300000034832.jpg, https://image.msscdn.net/images/prd_img/2019022514360300000035832.jpg, https://image.msscdn.net/images/prd_img/2019022514361700000011118.jpg, https://image.msscdn.net/images/prd_img/2019022514363100000010200.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20170926/643173/643173_16788611058623_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/07/12/172924b5b48b46f287cef0a8689c4b86.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/07/12/f6a649fb7b4c4315bc095022c8329513.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/07/12/f3d308e4beb14a98a1d98e601bf3e82b.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/25/ab49fe0726424331b9bda7e136c7fedb.jpg?w=390"
